metricId,dimension_id,queryable
pipeline_coverage,team,y
pipeline_coverage,segment,y
pipeline_coverage,metric_time,y
pipeline_value,segment,y
pipeline_value,stage,y
pipeline_value,rep,y
pipeline_value,metric_time,y
plg_rate,metric_time,y
preventive_maintenance_rate,facility,y
preventive_maintenance_rate,asset_type,y
preventive_maintenance_rate,metric_time,y
push_open_rate,metric_time,y
push_open_rate,campaign,y
quick_ratio,company,y
quick_ratio,metric_time,y
quota_attainment,rep,y
quota_attainment,segment,y
quota_attainment,metric_time,y
rd_expense,company,y
rd_expense,department,y
rd_expense,metric_time,y
referral_attribution_pct,metric_time,y
rev_concentration_top10,metric_time,y
rev_from_existing,metric_time,y
rev_from_new_customers,metric_time,y
review_rating,metric_time,y
review_rating,platform,y
roa,metric_time,y
roa,company,y
roe,metric_time,y
roe,company,y
roic,metric_time,y
runway_months,company,y
runway_months,metric_time,y
sales_cycle_length,segment,y
sales_cycle_length,rep,y
sales_cycle_length,deal_size_tier,y
sales_cycle_length,metric_time,y
sales_spend,company,y
sales_spend,team,y
sales_spend,metric_time,y
sessions_per_user,metric_time,y
sessions_per_user,platform,y
sg_and_a,company,y
sg_and_a,department,y
sg_and_a,metric_time,y
student_growth_percentile,school_year,y
student_growth_percentile,grade_level,y
student_growth_percentile,school,y
student_growth_percentile,student,y
student_growth_percentile,subject,y
student_growth_percentile,metric_time,y
share_of_voice,platform,y
share_of_voice,keyword_group,y
share_of_voice,metric_time,y
suspension_rate,school_year,n
suspension_rate,school,y
suspension_rate,subgroup,n
take_rate,category,y
take_rate,tier,y
take_rate,metric_time,y
tech_debt_ratio,metric_time,y
tech_debt_ratio,service,y
time_to_activate,metric_time,y
time_to_activate,cohort,y
time_to_fill,department,y
time_to_fill,job_level,y
time_to_fill,location,y
time_to_fill,metric_time,y
time_to_resolution,priority,y
time_to_resolution,category,y
time_to_resolution,channel,y
time_to_resolution,team,y
time_to_resolution,metric_time,y
time_to_value,cohort,y
time_to_value,plan_tier,y
time_to_value,acquisition_channel,y
training_hours_per_employee,department,y
training_hours_per_employee,metric_time,y
trial_to_paid_rate,metric_time,y
trial_to_paid_rate,cohort,y
unsubscribe_rate,campaign,y
unsubscribe_rate,segment,y
unsubscribe_rate,metric_time,y
viral_coefficient,metric_time,y
web_conversion_rate,landing_page,y
web_conversion_rate,channel,y
web_conversion_rate,metric_time,y
website_sessions,channel,y
website_sessions,source,y
website_sessions,medium,y
website_sessions,metric_time,y
win_rate,segment,y
win_rate,rep,y
win_rate,source,y
win_rate,metric_time,y
work_order_resolution_time,facility,y
work_order_resolution_time,category,y
work_order_resolution_time,priority,y
work_order_resolution_time,metric_time,y
workforce_productivity,metric_time,y
working_capital,company,y
working_capital,metric_time,y
avg_tenure,metric_time,y
avg_tenure,department,y
compensation_ratio,job_level,y
compensation_ratio,department,y
compensation_ratio,location,y
compensation_ratio,metric_time,y
complaint_resolution_rate,metric_time,y
cost_per_hire,metric_time,y
cost_per_hire,department,y
course_completion_rate,school_year,y
course_completion_rate,school,y
diversity_hire_rate,metric_time,y
diversity_hire_rate,department,y
employee_engagement_score,department,y
employee_engagement_score,job_level,y
employee_engagement_score,location,y
employee_engagement_score,survey_cycle,y
employee_engagement_score,metric_time,y
headcount_cost,department,y
headcount_cost,location,y
headcount_cost,job_level,y
headcount_cost,metric_time,y
headcount_vs_budget,metric_time,y
headcount_vs_budget,department,n
inventory_turnover,metric_time,y
inventory_turnover,product,y
inventory_turnover,location,n
onboarding_completion_rate,cohort,y
onboarding_completion_rate,plan_tier,y
onboarding_completion_rate,acquisition_channel,y
pct_reps_at_quota,segment,y
pct_reps_at_quota,team,y
pct_reps_at_quota,metric_time,y
qbr_completion_rate,metric_time,y
qbr_completion_rate,cs_rep,y
rd_headcount_pct,metric_time,y
regrettable_attrition,metric_time,y
regrettable_attrition,department,y
sla_compliance_rate,service_type,y
sla_compliance_rate,client,y
sla_compliance_rate,metric_time,y
span_of_control,metric_time,y
span_of_control,department,y
time_to_hire,metric_time,y
time_to_hire,department,y
vendor_compliance_rate,metric_time,y
vendor_compliance_rate,vendor,y
voluntary_turnover,metric_time,y
voluntary_turnover,department,y
voluntary_turnover,job_level,y
voluntary_turnover,location,y
bad_debt_rate,company,y
bad_debt_rate,segment,n
bad_debt_rate,metric_time,y
cost_per_mql,metric_time,y
cost_per_mql,channel,n
cost_per_sql,channel,n
cost_per_sql,campaign,y
cost_per_sql,metric_time,y
cpc,metric_time,y
cpc,channel,y
ctr,channel,y
ctr,campaign,y
ctr,ad_set,y
ctr,metric_time,y
ctr,ad,y
email_click_rate,campaign,y
email_click_rate,segment,y
email_click_rate,metric_time,y
email_open_rate,campaign,y
email_open_rate,segment,y
email_open_rate,metric_time,y
lead_time,metric_time,y
lead_time,product,y
lead_time_for_changes,team,y
lead_time_for_changes,service,y
lead_time_for_changes,metric_time,y
lead_to_mql_rate,metric_time,y
lead_to_mql_rate,channel,y
mql_to_sql_rate,channel,y
mql_to_sql_rate,campaign,y
mql_to_sql_rate,metric_time,y
organic_attribution_pct,metric_time,y
roas,channel,y
roas,campaign,y
roas,metric_time,y
session_to_lead_rate,metric_time,y
session_to_lead_rate,channel,y
social_engagement_rate,metric_time,y
social_engagement_rate,platform,y
sql,metric_time,y
sql,rep,y
sql,channel,y
sql,campaign,y
sql,segment,y
supplier_lead_time,supplier,y
supplier_lead_time,product_category,y
supplier_lead_time,metric_time,y
top10_keyword_count,keyword_group,y
top10_keyword_count,page,y
top10_keyword_count,metric_time,y
webinar_attendance_rate,metric_time,y
webinar_attendance_rate,webinar,y
cycle_time,metric_time,y
cycle_time,product,y
defect_rate,production_line,y
defect_rate,supplier,y
defect_rate,product,y
defect_rate,metric_time,y
escalation_rate,metric_time,y
fill_rate,warehouse,y
fill_rate,product_category,y
fill_rate,metric_time,y
order_fulfillment_rate,metric_time,y
order_fulfillment_rate,region,y
procurement_savings_rate,category_manager,y
procurement_savings_rate,spend_category,y
procurement_savings_rate,metric_time,y
rcr_rate,metric_time,y
return_rate,product_category,y
return_rate,channel,y
return_rate,metric_time,y
return_rate,product,y
safety_incident_rate,facility,y
safety_incident_rate,department,y
safety_incident_rate,incident_type,y
safety_incident_rate,metric_time,y
seat_fill_rate,school,y
seat_fill_rate,grade_level,n
seat_fill_rate,metric_time,y
sla_breach_rate,metric_time,y
sla_breach_rate,priority,y
stockout_rate,metric_time,y
stockout_rate,product,y
stockout_rate,location,y
support_cost_per_ticket,metric_time,y
throughput,metric_time,y
throughput,production_line,y
ticket_backlog,metric_time,y
ticket_resolution_rate,priority,y
ticket_resolution_rate,category,y
ticket_resolution_rate,team,y
ticket_resolution_rate,metric_time,y
tickets_per_agent,metric_time,y
tickets_per_customer,metric_time,y
tickets_per_customer,segment,y
vendor_scorecard_rating,supplier,y
vendor_scorecard_rating,category,y
vendor_scorecard_rating,metric_time,y
warehouse_utilization,metric_time,y
warehouse_utilization,facility,y
warehouse_utilization,warehouse,y
warehouse_utilization,product_zone,y
arr_growth_rate,metric_time,y
arr_per_rep,metric_time,y
billings,segment,y
billings,product_tier,y
billings,metric_time,y
bookings,segment,y
bookings,product_tier,y
bookings,channel,y
bookings,metric_time,y
capex_pct_revenue,company,y
capex_pct_revenue,metric_time,y
